ImageName,BottomHeightY,TopHeightY,ContaminationHeight
H6EX10_S_PLC_SPC_Full_Upload_01,0,0,0
H6EX10_S_PLC_SPC_Upload_01,644,750,106
H6EX12_S_PLC_SPC_Full_Upload_01,669,695,26
H6EX12_S_PLC_SPC_Upload_01,671,710,39
H6EX15_S_PLC_SPC_Full_Upload_01,0,0,0
H6EX17_S_PLC_SPC_Full_Upload_01,0,0,0
H6EX17_S_PLC_SPC_Upload_01,690,810,120
H6EX17_S_PLC_SPC_Upload_02,670,759,89
H6EX17_S_PLC_SPC_Upload_03,592,693,101
H6EX20_S_PLC_SPC_Full_Upload_01,677,703,26
H6EX20_S_PLC_SPC_Full_Upload_02,658,689,31
H6EX20_S_PLC_SPC_Upload_01,640,793,153
H6EX20_S_PLC_SPC_Upload_02,510,686,176
H6EX25_S_PLC_SPC_Full_Upload_02,0,0,0
H6EX29_S_PLC_SPC_Full_Upload_01,0,0,0
H6EX30_S_PLC_SPC_Full_Upload_01,0,0,0
H6EX30_S_PLC_SPC_Full_Upload_02,680,697,17
H6EX30_S_PLC_SPC_Upload_01,631,702,71
H6EX31_S_PLC_SPC_Full_Upload_01,579,622,43
H6EX31_S_PLC_SPC_Full_Upload_02,609,662,53
H6EX31_S_PLC_SPC_Upload_01,679,713,34
H6EX31_S_PLC_SPC_Upload_02,671,701,30
H6EX35_S_PLC_SPC_Full_Upload_01,0,0,0
H6EX35_S_PLC_SPC_Upload_01,0,0,0
H6EX36_S_PLC_SPC_Full_Upload_01,651,728,77
H6EX36_S_PLC_SPC_Full_Upload_02,0,0,0
H6EX36_S_PLC_SPC_Upload_01,591,700,109
H6EX36_S_PLC_SPC_Upload_02,673,731,58
H6EX39_S_PLC_SPC_Full_Upload_01,0,0,0
H6EX39_S_PLC_SPC_Upload_01,620,667,47
H6EX39_S_PLC_SPC_Upload_02,0,0,0
H6EX41_S_PLC_SPC_Full_Upload_Clear_01,0,0,0
H6EX41_S_PLC_SPC_Upload_Clear_01,0,0,0
H6EX42_S_PLC_SPC_Full_Upload_01,0,0,0
H6EX42_S_PLC_SPC_Full_Upload_02,0,0,0
H6EX42_S_PLC_SPC_Full_Upload_Clear_02,0,0,0
H6EX42_S_PLC_SPC_Upload_01,742,842,100
H6EX43_S_PLC_SPC_Full_Upload_Clear_01,0,0,0
H6EX43_S_PLC_SPC_Upload_Clear_02,650,728,78
H6EX45_S_PLC_SPC_Full_Upload_Clear_01,0,0,0
H6EX45_S_PLC_SPC_Full_Upload_Clear_02,0,0,0
H6EX45_S_PLC_SPC_Upload_Clear_01,650,723,73
H6EX45_S_PLC_SPC_Upload_Clear_02,0,0,0
H6EX45_S_PLC_SPC_Upload_Clear_03,0,0,0
H6EX46_S_PLC_SPC_Full_Upload_Clear_01,0,0,0
H6EX46_S_PLC_SPC_Upload_Clear_01,743,784,41
H6EX47_S_PLC_SPC_Full_Upload_Clear_01,0,0,0
H6EX47_S_PLC_SPC_Full_Upload_Clear_02,0,0,0
H6EX47_S_PLC_SPC_Upload_Clear_01,680,731,51
H6EX49_S_PLC_SPC_Full_Upload_01,0,0,0
H6EX49_S_PLC_SPC_Full_Upload_Clear_01,0,0,0
H6EX49_S_PLC_SPC_Upload_01,576,699,123
H6EX49_S_PLC_SPC_Upload_Clear_01,575,696,121
H6EX4_S_PLC_SPC_Full_Upload_01,0,0,0
H6EX50_S_PLC_SPC_Full_Upload_01,0,0,0
H6EX50_S_PLC_SPC_Full_Upload_Clear_01,0,0,0
H6EX50_S_PLC_SPC_Upload_01,686,718,32
H6EX50_S_PLC_SPC_Upload_02,0,0,0
H6EX50_S_PLC_SPC_Upload_Clear_01,682,721,39
H6EX50_S_PLC_SPC_Upload_Clear_02,0,0,0
H6EX52_S_PLC_SPC_Full_Upload_01,690,713,23
H6EX52_S_PLC_SPC_Full_Upload_Clear_01,689,718,29
H6EX52_S_PLC_SPC_Upload_02,0,0,0
H6EX52_S_PLC_SPC_Upload_Clear_01,659,715,56
H6EX52_S_PLC_SPC_Upload_Clear_02,0,0,0
H6EX53_S_PLC_SPC_Full_Upload_Clear_01,695,755,60
H6EX53_S_PLC_SPC_Full_Upload_Clear_02,0,0,0
H6EX53_S_PLC_SPC_Upload_Clear_01,646,706,60
H6EX53_S_PLC_SPC_Upload_Clear_02,688,724,36
H6EX54_S_PLC_SPC_Full_Upload_Clear_01,0,0,0
H6EX54_S_PLC_SPC_Upload_01,0,0,0
H6EX54_S_PLC_SPC_Upload_Clear_01,0,0,0
H6EX56_S_PLC_SPC_Full_Upload_01,0,0,0
H6EX56_S_PLC_SPC_Upload_01,577,721,144
H6EX56_S_PLC_SPC_Upload_02,0,0,0
H6EX58_S_PLC_SPC_Full_Upload_Clear_01,0,0,0
H6EX58_S_PLC_SPC_Upload_01,596,670,74
H6EX58_S_PLC_SPC_Upload_Clear_01,595,664,69
H6EX6_S_PLC_SPC_Full_Upload_02,0,0,0
H6EX6_S_PLC_SPC_Upload_01,437,600,163
H6EX6_S_PLC_SPC_Upload_02,0,0,0
H6EX8_S_PLC_SPC_Full_Upload_01,705,744,39
H6EX8_S_PLC_SPC_Upload_01,516,708,192
HCX313v_S_PLC_SPC_Upload_01,596,629,33
HCX313v_S_PLC_SPC_Upload_02,662,690,28
HCX335v_S_PLC_SPC_Full_Upload_Clear_01,338,349,11
HCX335v_S_PLC_SPC_Full_Upload_Clear_02,0,0,0
HCX338v_S_PLC_SPC_Full_Upload_Clear_01,0,0,0
HCX338v_S_PLC_SPC_Full_Upload_Clear_02,0,0,0
HCX338v_S_PLC_SPC_Upload_Clear_01,699,760,61
HCX338v_S_PLC_SPC_Upload_Clear_02,0,0,0
HCX339v_S_PLC_SPC_Full_Upload_Clear_01,650,702,52
HCX339v_S_PLC_SPC_Upload_Clear_02,0,0,0
HCX340v_S_PLC_SPC_Full_Upload_Clear_01,0,0,0
HCX340v_S_PLC_SPC_Upload_Clear_01,469,542,73
HCX341_S_PLC_SPC_Upload_Clear_01,0,0,0
HCX342_S_PLC_SPC_Upload_Clear_01,633,688,55
HCX342_S_PLC_SPC_Upload_Clear_02,0,0,0
HCX343_S_PLC_SPC_Full_Upload_Clear_01,0,0,0
HCX343_S_PLC_SPC_Upload_01,0,0,0
HCX343_S_PLC_SPC_Upload_Clear_01,0,0,0
HCX344_S_PLC_SPC_Full_Upload_Clear_01,0,0,0
HCX344_S_PLC_SPC_Upload_Clear_01,609,674,65
HCX345_S_PLC_SPC_Full_Upload_Clear_01,0,0,0
HCX345_S_PLC_SPC_Full_Upload_Clear_02,0,0,0
HCX345_S_PLC_SPC_Upload_Clear_01,612,689,77
HCX345_S_PLC_SPC_Upload_Clear_02,0,0,0
HCX346_S_PLC_SPC_Upload_Clear_01,547,637,90
HCX347_S_PLC_SPC_Full_Upload_Clear_01,0,0,0
HCX347_S_PLC_SPC_Upload_Clear_01,0,0,0
HCX348_S_PLC_SPC_Full_Upload_Clear_01,672,715,43
HCX348_S_PLC_SPC_Upload_Clear_01,0,0,0
HCX348_S_PLC_SPC_Upload_Clear_02,614,678,64
HCX348_S_PLC_SPC_Upload_Clear_03,0,0,0
HCX348_S_PLC_SPC_Upload_Clear_04,0,0,0
HCX349_S_PLC_SPC_Full_Upload_Clear_01,673,697,24
HCX349_S_PLC_SPC_Full_Upload_Clear_02,0,0,0
HCX349_S_PLC_SPC_Upload_Clear_01,659,706,47
HCX349_S_PLC_SPC_Upload_Clear_02,0,0,0
HCX350_S_PLC_SPC_Full_Upload_Clear_01,0,0,0
HCX350_S_PLC_SPC_Upload_Clear_02,650,757,107
HCX352_S_PLC_SPC_Full_Upload_Clear_01,508,680,172
HCX352_S_PLC_SPC_Full_Upload_Clear_02,637,701,64
HCX352_S_PLC_SPC_Upload_Clear_01,572,708,136
