ImageName,BottomHeightY,TopHeightY,ContaminationHeight
HCX358_S_PLC_SPC_Upload_Clear_01.png,679,820,141
HCX358_S_PLC_SPC_Upload_Clear_02.png,688,739,51
HCX358_S_PLC_SPC_Upload_Clear_03.png,681,708,27
HCX359_S_PLC_SPC_Full_Upload_Clear_01.png,0,0,0
HCX359_S_PLC_SPC_Upload_Clear_02.png,545,635,90
HCX360_S_PLC_SPC_Full_Upload_Clear_01.png,0,0,0
HCX360_S_PLC_SPC_Upload_Clear_01.png,623,666,43
HCX364_S_PLC_SPC_Full_Upload_Clear_01.png,690,722,32
HCX364_S_PLC_SPC_Upload_Clear_01.png,570,739,169
HCX364_S_PLC_SPC_Upload_Clear_02.png,551,580,29
HCX364_S_PLC_SPC_Upload_Clear_03.png,0,0,0
HCX367_S_PLC_SPC_Full_Upload_Clear_01.png,660,700,40
HCX367_S_PLC_SPC_Upload_Clear_01.png,0,0,0
HCX367_S_PLC_SPC_Upload_Clear_02.png,671,710,39
HCX368_S_PLC_SPC_Full_Upload_Clear_01.png,0,0,0
HCX368_S_PLC_SPC_Full_Upload_Clear_02.png,0,0,0
HCX368_S_PLC_SPC_Upload_Clear_01.png,0,0,0
HCX368_S_PLC_SPC_Upload_Clear_02.png,0,0,0
HCX371_S_PLC_SPC_Full_Upload_Clear_01.png,606,706,100
HCX371_S_PLC_SPC_Full_Upload_Clear_02.png,0,0,0
HCX371_S_PLC_SPC_Upload_Clear_01.png,637,752,115
HCX371_S_PLC_SPC_Upload_Clear_02.png,0,0,0
HEX467_S_PLC_SPC_Upload_Clear_02.png,574,718,144
HEX467_S_PLC_SPC_Upload_Clear_03.png,672,760,88
HEX475_S_PLC_SPC_Full_Upload_Clear_01.png,675,727,52
HEX475_S_PLC_SPC_Full_Upload_Clear_02.png,673,701,28
HEX475_S_PLC_SPC_Upload_Clear_01.png,685,738,53
HEX475_S_PLC_SPC_Upload_Clear_02.png,670,760,90
HEX476_S_PLC_SPC_Full_Upload_Clear_01.png,0,0,0
HEX476_S_PLC_SPC_Upload_Clear_01.png,573,705,132
HEX476_S_PLC_SPC_Upload_Clear_02.png,723,765,42
HEX478_S_PLC_SPC_Full_Upload_Clear_01.png,0,0,0
HEX478_S_PLC_SPC_Upload_Clear_01.png,608,646,38
HEX479_S_PLC_SPC_Full_Upload_Clear_01.png,680,734,54
HEX479_S_PLC_SPC_Full_Upload_Clear_02.png,0,0,0
HEX479_S_PLC_SPC_Upload_Clear_01.png,679,724,45
HEX479_S_PLC_SPC_Upload_Clear_02.png,678,729,51
