Filename,PixelWidth
H6EX10_S_PLC_SPC_Full_Upload_01,1.12413e-09
H6EX10_S_PLC_SPC_Upload_01,1.12413e-09
H6EX12_S_PLC_SPC_Full_Upload_01,1.12413e-09
H6EX12_S_PLC_SPC_Upload_01,1.12413e-09
H6EX15_S_PLC_SPC_Full_Upload_01,1.12413e-09
H6EX17_S_PLC_SPC_Full_Upload_01,7.49421e-10
H6EX17_S_PLC_SPC_Upload_01,1.12413e-09
H6EX17_S_PLC_SPC_Upload_02,1.12413e-09
H6EX17_S_PLC_SPC_Upload_03,1.12413e-09
H6EX20_S_PLC_SPC_Full_Upload_01,
H6EX20_S_PLC_SPC_Full_Upload_02,
H6EX20_S_PLC_SPC_Upload_01,1.12413e-09
H6EX20_S_PLC_SPC_Upload_02,1.12413e-09
H6EX25_S_PLC_SPC_Full_Upload_01,1.12413e-09
H6EX25_S_PLC_SPC_Full_Upload_02,
H6EX25_S_PLC_SPC_Upload_01,1.12413e-09
H6EX29_S_PLC_SPC_Full_Upload_01,1.12413e-09
H6EX30_S_PLC_SPC_Full_Upload_01,
H6EX30_S_PLC_SPC_Full_Upload_02,1.12413e-09
H6EX30_S_PLC_SPC_Upload_01,1.12413e-09
H6EX31_S_PLC_SPC_Full_Upload_01,1.12413e-09
H6EX31_S_PLC_SPC_Full_Upload_02,1.12413e-09
H6EX31_S_PLC_SPC_Upload_01,1.12413e-09
H6EX31_S_PLC_SPC_Upload_02,1.12413e-09
H6EX35_S_PLC_SPC_Upload_01,1.12413e-09
H6EX36_S_PLC_SPC_Full_Upload_01,
H6EX36_S_PLC_SPC_Full_Upload_02,
H6EX36_S_PLC_SPC_Upload_01,1.12413e-09
H6EX36_S_PLC_SPC_Upload_02,1.12413e-09
H6EX37_S_PLC_SPC_Full_Upload_02,1.12413e-09
H6EX39_S_PLC_SPC_Full_Upload_01,
H6EX39_S_PLC_SPC_Upload_01,1.12413e-09
H6EX39_S_PLC_SPC_Upload_02,1.12413e-09
H6EX41_S_PLC_SPC_Full_Upload_Clear_01,
H6EX41_S_PLC_SPC_Upload_Clear_01,
H6EX42_S_PLC_SPC_Full_Upload_01,1.12413e-09
H6EX42_S_PLC_SPC_Full_Upload_02,1.12413e-09
H6EX42_S_PLC_SPC_Full_Upload_Clear_02,1.12413e-09
H6EX42_S_PLC_SPC_Upload_01,
H6EX43_S_PLC_SPC_Full_Upload_Clear_01,1.12413e-09
H6EX43_S_PLC_SPC_Upload_Clear_02,1.12413e-09
H6EX45_S_PLC_SPC_Full_Upload_Clear_01,1.12413e-09
H6EX45_S_PLC_SPC_Full_Upload_Clear_02,1.12413e-09
H6EX45_S_PLC_SPC_Upload_Clear_01,
H6EX45_S_PLC_SPC_Upload_Clear_02,1.12413e-09
H6EX45_S_PLC_SPC_Upload_Clear_03,1.12413e-09
H6EX46_S_PLC_SPC_Full_Upload_Clear_01,1.12413e-09
H6EX46_S_PLC_SPC_Upload_Clear_01,1.12413e-09
H6EX47_S_PLC_SPC_Full_Upload_Clear_01,
H6EX47_S_PLC_SPC_Full_Upload_Clear_02,1.12413e-09
H6EX47_S_PLC_SPC_Upload_Clear_01,
H6EX49_S_PLC_SPC_Full_Upload_01,
H6EX49_S_PLC_SPC_Full_Upload_Clear_01,
H6EX49_S_PLC_SPC_Upload_01,
H6EX49_S_PLC_SPC_Upload_Clear_01,
H6EX4_S_PLC_SPC_Full_Upload_01,5.62066e-10
H6EX50_S_PLC_SPC_Full_Upload_01,1.12413e-09
H6EX50_S_PLC_SPC_Full_Upload_Clear_01,1.12413e-09
H6EX50_S_PLC_SPC_Upload_01,1.12413e-09
H6EX50_S_PLC_SPC_Upload_02,1.12413e-09
H6EX50_S_PLC_SPC_Upload_Clear_01,1.12413e-09
H6EX50_S_PLC_SPC_Upload_Clear_02,1.12413e-09
H6EX52_S_PLC_SPC_Full_Upload_01,
H6EX52_S_PLC_SPC_Full_Upload_Clear_01,
H6EX52_S_PLC_SPC_Upload_02,
H6EX52_S_PLC_SPC_Upload_Clear_01,1.12413e-09
H6EX52_S_PLC_SPC_Upload_Clear_02,
H6EX53_S_PLC_SPC_Full_Upload_Clear_01,1.12413e-09
H6EX53_S_PLC_SPC_Full_Upload_Clear_02,1.12413e-09
H6EX53_S_PLC_SPC_Upload_Clear_01,1.12413e-09
H6EX53_S_PLC_SPC_Upload_Clear_02,1.12413e-09
H6EX54_S_PLC_SPC_Full_Upload_Clear_01,1.12413e-09
H6EX54_S_PLC_SPC_Full_Upload_Clear_02,1.12413e-09
H6EX56_S_PLC_SPC_Full_Upload_01,1.12413e-09
H6EX56_S_PLC_SPC_Upload_01,1.12413e-09
H6EX56_S_PLC_SPC_Upload_02,1.12413e-09
H6EX58_S_PLC_SPC_Full_Upload_Clear_01,
H6EX58_S_PLC_SPC_Upload_01,1.12413e-09
H6EX58_S_PLC_SPC_Upload_Clear_01,1.12413e-09
H6EX8_S_PLC_SPC_Full_Upload_01,
H6EX8_S_PLC_SPC_Upload_01,
HCX313v_S_PLC_SPC_Upload_01,1.12413e-09
HCX313v_S_PLC_SPC_Upload_02,1.12413e-09
HCX335v_S_PLC_SPC_Full_Upload_Clear_01,2.24826e-09
HCX335v_S_PLC_SPC_Full_Upload_Clear_02,2.24826e-09
HCX336v_S_PLC_SPC_Full_Upload_Clear_01,1.12413e-09
HCX338v_S_PLC_SPC_Full_Upload_Clear_01,1.12413e-09
HCX338v_S_PLC_SPC_Full_Upload_Clear_02,
HCX338v_S_PLC_SPC_Upload_Clear_01,1.12413e-09
HCX338v_S_PLC_SPC_Upload_Clear_02,1.12413e-09
HCX339v_S_PLC_SPC_Full_Upload_Clear_01,1.12413e-09
HCX339v_S_PLC_SPC_Upload_Clear_02,1.12413e-09
HCX340v_S_PLC_SPC_Full_Upload_Clear_01,1.12413e-09
HCX340v_S_PLC_SPC_Upload_Clear_01,1.12413e-09
HCX341_S_PLC_SPC_Upload_Clear_01,1.12413e-09
HCX342_S_PLC_SPC_Upload_Clear_01,1.12413e-09
HCX342_S_PLC_SPC_Upload_Clear_02,1.12413e-09
HCX343_S_PLC_SPC_Full_Upload_Clear_01,1.12413e-09
HCX343_S_PLC_SPC_Upload_01,1.12413e-09
HCX343_S_PLC_SPC_Upload_Clear_01,1.12413e-09
HCX344_S_PLC_SPC_Full_Upload_Clear_01,1.12413e-09
HCX344_S_PLC_SPC_Upload_Clear_01,1.12413e-09
HCX345_S_PLC_SPC_Full_Upload_Clear_01,1.12413e-09
HCX345_S_PLC_SPC_Full_Upload_Clear_02,1.12413e-09
HCX345_S_PLC_SPC_Upload_Clear_01,1.12413e-09
HCX345_S_PLC_SPC_Upload_Clear_02,1.12413e-09
HCX346_S_PLC_SPC_Upload_Clear_01,1.12413e-09
HCX347_S_PLC_SPC_Full_Upload_Clear_01,
HCX347_S_PLC_SPC_Upload_Clear_01,1.12413e-09
HCX348_S_PLC_SPC_Full_Upload_Clear_01,1.12413e-09
HCX348_S_PLC_SPC_Upload_Clear_01,1.12413e-09
HCX348_S_PLC_SPC_Upload_Clear_02,1.12413e-09
HCX348_S_PLC_SPC_Upload_Clear_03,1.12413e-09
HCX348_S_PLC_SPC_Upload_Clear_04,5.62066e-10
HCX349_S_PLC_SPC_Full_Upload_Clear_01,1.12413e-09
HCX349_S_PLC_SPC_Full_Upload_Clear_02,1.12413e-09
HCX349_S_PLC_SPC_Upload_Clear_01,1.12413e-09
HCX349_S_PLC_SPC_Upload_Clear_02,1.12413e-09
HCX350_S_PLC_SPC_Full_Upload_Clear_01,
HCX350_S_PLC_SPC_Upload_Clear_01,5.62066e-10
HCX350_S_PLC_SPC_Upload_Clear_02,
HCX352_S_PLC_SPC_Full_Upload_Clear_01,1.12413e-09
HCX352_S_PLC_SPC_Full_Upload_Clear_02,1.12413e-09
HCX352_S_PLC_SPC_Upload_Clear_01,1.12413e-09
HCX353_S_PLC_SPC_Full_Upload_Clear_01,1.12413e-09
HCX353_S_PLC_SPC_Upload_Clear_01,1.12413e-09
HCX353_S_PLC_SPC_Upload_Clear_02,1.12413e-09
HCX354_S_PLC_SPC_Full_Upload_Clear_01,1.12413e-09
HCX354_S_PLC_SPC_Upload_Clear_01,1.12413e-09
HCX354_S_PLC_SPC_Upload_Clear_02,1.12413e-09
HCX355_S_PLC_SPC_Full_Upload_Clear_01,1.12413e-09
HCX356_S_PLC_SPC_Full_Upload_Clear_01,1.12413e-09
HCX356_S_PLC_SPC_Full_Upload_Clear_02,1.12413e-09
HCX356_S_PLC_SPC_Full_Upload_Clear_03,1.12413e-09
HCX356_S_PLC_SPC_Upload_Clear_01,1.12413e-09
HCX356_S_PLC_SPC_Upload_Clear_02,1.12413e-09
HEG102_S_LogContaminationUpload2,1.12355e-009
HEG102_S_LongTermContaminationUpload,1.12355e-009
HEG105_S_LogContaminationUpload1,1.12253e-009
HEG105_S_LongTermContaminationUpload,1.124e-009
HEG107_S_LogContaminationUpload3,1.12367e-009
HEG10_S_LongTermContaminationUpload,
HEG111_S_LogContaminationUpload1,1.34865e-009
HEG111_S_LogContaminationUpload3,1.12354e-009
HEG111_S_LongTermContaminationUpload,1.12357e-009
HEG118_S_LogContaminationUpload3,1.68703e-009
HEG122_S_LogContaminationUpload1,1.12413e-009
HEG122_S_LogContaminationUpload2,
HEG122_S_LogContaminationUpload5,1.12383e-009
HEG122_S_LongTermContaminationUpload,1.12383e-009
HEG125_S_LogContaminationUpload1,1.12413e-009
HEG125_S_LogContaminationUpload2,
HEG129_S_LogContaminationUpload1,1.12413e-009
HEG129_S_LogContaminationUpload2,1.12239e-009
HEG29_S_LogContaminationUpload2,
HEG29_S_LogContaminationUpload4,
HEG29_S_LongTermContaminationUpload,
HEG43_S_LogContaminationUpload3,
HEG43_S_LogContaminationUpload4,
HEG56_S_LogContaminationUpload1,1.12413e-009
HEG56_S_LogContaminationUpload2,
HEG56_S_LongTermContaminationUpload,
HEG57_S_LogContaminationUpload1,
HEG59_S_LogContaminationUpload1,
HEG65_S_LogContaminationUpload1,
HEG65_S_LogContaminationUpload4,
HEG65_S_LongTermContaminationUpload,
HEG69_S_LogContaminationUpload1,
HEG69_S_LongTermContaminationUpload,
HEG75_S_LogContaminationUpload4,1.12297e-009
HEG75_S_LogContaminationUpload5,1.12296e-009
HEG75_S_LogContaminationUpload6,1.12336e-009
HEG79_S_LogContaminationUpload1,1.12407e-009
HEG79_S_LogContaminationUpload2,1.12354e-009
HEG79_S_LogContaminationUpload3,1.12361e-009
HEG79_S_LongTermContaminationUpload,1.12374e-009
HEG82_S_LogContaminationUpload2,
HEG82_S_LogContaminationUpload3,
HEG86_S_LogContaminationUpload1,1.12398e-009
HEG86_S_LogContaminationUpload2,1.12322e-009
HEG86_S_LogContaminationUpload3,1.123e-009
HEG86_S_LongTermContaminationUpload,1.12322e-009
HEG91_S_LongTermContaminationUpload,1.12308e-009
HEG93_S_LogContaminationUpload1,1.12543e-009
HEG93_S_LogContaminationUpload2,1.12357e-009
HEG93_S_LogContaminationUpload3,1.12398e-009
HEG93_S_LogContaminationUpload4,
HEG93_S_LogContaminationUpload5,
HEG93_S_LogContaminationUpload6,1.12361e-009
HEG93_S_LongTermContaminationUpload,1.12361e-009
HEG94_S_LogContaminationUpload1,1.12413e-009
HEG94_S_LogContaminationUpload3,1.12415e-009
HEG94_S_LongTermContaminationUpload,1.12415e-009
HEG95_S_LogContaminationUpload1,1.12231e-009
HEG95_S_LogContaminationUpload2,1.12412e-009
HEG95_S_LogContaminationUpload3,1.12216e-009
HEG95_S_LogContaminationUpload4,
HEX417v_S_PLC_SPC_Full_Upload_01,1.12465e-09
HEX417v_S_PLC_SPC_Upload_01,1.12413e-09
HEX420v_S_PLC_SPC_Full_Upload_02,1.12413e-09
HEX421v_S_PLC_SPC_Full_Upload_01,1.12413e-09
HEX427v_S_PLC_SPC_Full_Upload_01,1.12413e-09
HEX427v_S_PLC_SPC_Upload_02,1.12413e-09
HEX434v_S_PLC_SPC_Full_Upload_01,1.12413e-09
HEX437v_S_PLC_SPC_Full_Upload_01,1.12413e-09
HEX437v_S_PLC_SPC_Upload_01,1.12413e-09
HEX438v_S_PLC_SPC_Full_Upload_01,
HEX441v_S_PLC_SPC_Full_Upload_01,1.12413e-09
HEX441v_S_PLC_SPC_Full_Upload_02,1.12413e-09
HEX441v_S_PLC_SPC_Upload_01,1.12413e-09
HEX441v_S_PLC_SPC_Upload_02,1.12413e-09
HEX441v_S_PLC_SPC_Upload_03,1.12413e-09
HEX443v_S_PLC_SPC_Full_Upload_01,1.12413e-09
HEX443v_S_PLC_SPC_Upload_01,1.12413e-09
HEX447v_S_PLC_SPC_Full_Upload_Clear_01,1.12413e-09
HEX447v_S_PLC_SPC_Upload_Clear_02,1.12413e-09
HEX449v_S_PLC_SPC_Full_Upload_01,1.12413e-09
HEX449v_S_PLC_SPC_Upload_01,
HEX449v_S_PLC_SPC_Upload_02,1.12413e-09
HEX450v_S_PLC_SPC_Full_Upload_02,1.12413e-09
HEX452v_S_PLC_SPC_Full_Upload_Clear_01,1.12413e-09
HEX453v_S_PLC_SPC_Full_Upload_Clear_01,
HEX453v_S_PLC_SPC_Upload_Clear_02,1.12413e-09
HEX453v_S_PLC_SPC_Upload_Clear_03,1.12413e-09
HEX454v_S_PLC_SPC_Upload_Clear_02,1.12413e-09
HEX455v_S_PLC_SPC_Full_Upload_Clear_01,1.12413e-09
HEX455v_S_PLC_SPC_Full_Upload_Clear_02,1.12413e-09
HEX455v_S_PLC_SPC_Upload_Clear_02,1.12413e-09
HEX456v_S_PLC_SPC_Full_Upload_01,1.12413e-09
HEX456v_S_PLC_SPC_Full_Upload_Clear_01,1.12413e-09
HEX456v_S_PLC_SPC_Upload_01,1.12413e-09
HEX456v_S_PLC_SPC_Upload_Clear_01,1.12413e-09
HEX457v_S_PLC_SPC_Full_Upload_Clear_01,1.12413e-09
HEX457v_S_PLC_SPC_Full_Upload_Clear_02,1.12413e-09
